,Unnamed: 0,league_name,league_id,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
0,185,Spain LIGA BBVA,21518,74.266,79.757,82.329,84.186,88.025,97.713,99.999,107.713
1,52,England Premier League,1729,79.499,81.856,85.785,84.41,82.963,84.748,80.329,76.284
2,50,Germany 1. Bundesliga,7809,56.695,64.207,69.436,75.187,79.614,81.641,79.415,80.177
3,193,Italy Serie A,10257,62.91,64.338,60.552,59.981,64.147,66.938,70.51,70.439
4,107,Portugal Liga ZON Sagres,17642,36.462,38.296,51.596,55.346,59.168,62.299,61.382,53.082
5,22,France Ligue 1,4769,50.168,53.74,53.678,54.178,59.0,56.5,52.416,52.749
6,169,Netherlands Eredivisie,13274,39.13,36.546,40.129,45.515,44.729,44.312,40.979,35.563
7,58,Belgium Jupiler League,1,25.325,27.9,27.0,32.4,34.4,36.3,37.2,40.0
8,0,Switzerland Super League,24558,25.25,28.375,24.9,26.8,28.925,33.225,34.275,33.775
9,20,Poland Ekstraklasa,15722,12.916,12.547,15.916,19.916,20.75,18.875,21.5,22.5
10,26,Scotland Premier League,19694,27.875,25.791,25.141,21.141,15.191,16.566,17.9,17.3
